timestamp,f_peak_hz,velocity_m_s,velocity_kmh,snr_db
2026-04-06T14:45:48.457,-15.90,-1.0965,-3.95,29.20
2026-04-06T14:45:48.728,-15.90,-1.0965,-3.95,29.78
2026-04-06T14:45:49.000,568.41,39.2009,141.12,22.98
2026-04-06T14:45:50.357,568.41,39.2009,141.12,24.12
2026-04-06T14:45:56.292,-15.90,-1.0965,-3.95,23.05
2026-04-06T14:45:58.992,-15.90,-1.0965,-3.95,18.17
2026-04-06T14:46:02.806,11.92,0.8224,2.96,20.60
2026-04-06T19:04:54.153,-628.04,-43.3129,-155.93,23.68
2026-04-06T19:05:27.421,-19.87,-1.3707,-4.93,24.17
2026-04-06T19:05:30.498,11.92,0.8224,2.96,28.65
2026-04-06T19:05:30.768,-19.87,-1.3707,-4.93,41.04
2026-04-06T19:05:31.308,-19.87,-1.3707,-4.93,26.69
2026-04-06T19:05:32.389,15.90,1.0965,3.95,39.65
2026-04-06T19:05:32.657,11.92,0.8224,2.96,31.36
2026-04-06T19:05:32.937,-19.87,-1.3707,-4.93,15.62
2026-04-06T19:06:52.256,-27.82,-1.9189,-6.91,30.19
2026-04-06T19:06:52.528,-15.90,-1.0965,-3.95,30.49
2026-04-06T19:06:52.804,-15.90,-1.0965,-3.95,28.16
2026-04-06T19:06:54.726,31.80,2.1931,7.90,38.59
2026-04-06T19:06:55.808,-11.92,-0.8224,-2.96,18.39
2026-04-06T19:11:50.513,-516.74,-35.6372,-128.29,33.68
2026-04-06T19:11:50.793,-516.74,-35.6372,-128.29,38.02
2026-04-06T19:11:51.075,-516.74,-35.6372,-128.29,33.47
2026-04-06T19:11:51.362,-516.74,-35.6372,-128.29,33.31
2026-04-06T19:11:51.651,-516.74,-35.6372,-128.29,26.04
2026-04-06T19:11:51.936,-516.74,-35.6372,-128.29,29.07
2026-04-06T19:11:52.222,15.90,1.0965,3.95,33.20
2026-04-06T19:11:52.495,-516.74,-35.6372,-128.29,29.79
2026-04-06T19:11:52.768,-19.87,-1.3707,-4.93,31.78
2026-04-06T19:11:53.051,-516.74,-35.6372,-128.29,34.68
2026-04-06T19:11:53.335,-516.74,-35.6372,-128.29,33.44
2026-04-06T19:11:53.619,-516.74,-35.6372,-128.29,25.84
2026-04-06T19:11:54.182,-516.74,-35.6372,-128.29,28.22
2026-04-06T19:11:54.467,-516.74,-35.6372,-128.29,25.83
