timestamp,f_peak_hz,velocity_m_s,velocity_kmh,snr_db
2026-04-06T13:53:04.617,520.71,35.9113,129.28,31.50
2026-04-06T13:53:04.924,520.71,35.9113,129.28,35.98
2026-04-06T13:53:07.373,520.71,35.9113,129.28,24.78
2026-04-06T13:53:08.314,520.71,35.9113,129.28,24.22
2026-04-06T13:53:08.622,520.71,35.9113,129.28,25.95
2026-04-06T13:53:10.120,520.71,35.9113,129.28,22.93
2026-04-06T13:53:10.451,520.71,35.9113,129.28,25.98
2026-04-06T13:53:12.280,520.71,35.9113,129.28,22.79
2026-04-06T13:53:12.894,520.71,35.9113,129.28,20.07
2026-04-06T13:53:14.105,520.71,35.9113,129.28,19.48
2026-04-06T13:53:15.322,-11.92,-0.8224,-2.96,23.32
2026-04-06T13:53:15.626,-11.92,-0.8224,-2.96,20.60
2026-04-06T13:53:15.927,-11.92,-0.8224,-2.96,21.14
2026-04-06T13:53:17.749,11.92,0.8224,2.96,24.59
2026-04-06T14:38:19.592,-19.87,-1.3707,-4.93,34.99
2026-04-06T14:38:19.862,-35.77,-2.4672,-8.88,29.58
2026-04-06T14:38:21.252,35.77,2.4672,8.88,42.00
2026-04-06T14:38:21.527,19.87,1.3707,4.93,25.94
2026-04-06T14:38:27.902,11.92,0.8224,2.96,22.19
2026-04-06T14:41:52.482,-27.82,-1.9189,-6.91,40.19
2026-04-06T14:41:52.769,-27.82,-1.9189,-6.91,43.33
2026-04-06T14:41:53.899,31.80,2.1931,7.90,43.27
2026-04-06T14:41:54.177,27.82,1.9189,6.91,23.16
2026-04-06T14:41:54.742,-27.82,-1.9189,-6.91,48.38
2026-04-06T14:41:55.021,-27.82,-1.9189,-6.91,23.80
2026-04-06T14:41:55.306,-11.92,-0.8224,-2.96,21.36
2026-04-06T14:41:55.582,27.82,1.9189,6.91,41.17
2026-04-06T14:41:55.858,19.87,1.3707,4.93,28.28
2026-04-06T14:41:56.413,-27.82,-1.9189,-6.91,39.28
2026-04-06T14:41:56.696,-27.82,-1.9189,-6.91,33.95
2026-04-06T14:41:56.980,11.92,0.8224,2.96,22.11
2026-04-06T14:41:57.261,27.82,1.9189,6.91,37.58
2026-04-06T14:41:57.538,15.90,1.0965,3.95,20.32
2026-04-06T14:41:58.098,-31.80,-2.1931,-7.90,36.38
2026-04-06T14:41:58.377,-15.90,-1.0965,-3.95,31.09
2026-04-06T14:41:58.935,23.85,1.6448,5.92,30.54
2026-04-06T14:41:59.215,11.92,0.8224,2.96,26.70
2026-04-06T14:41:59.776,-27.82,-1.9189,-6.91,39.29
2026-04-06T14:42:00.067,-27.82,-1.9189,-6.91,34.35
2026-04-06T14:42:00.354,27.82,1.9189,6.91,39.30
2026-04-06T14:42:00.634,27.82,1.9189,6.91,18.83
